ProviderID,Name,Address,City,State,Zipcode,County,Type,PatientVolume,Rating,Emergency Department Volume (EDV),LeftBeforeBeingSeen,Percent_LeftBeforeBeingSeen,DoortoDiagnosis,Time_DoortoDiagnosis,Time_DoortoAdmittedtoHospital,Time_DoortoDischarge,Percent_StrokeCTScanwithin45mins ,Time_HeartAttackECG,Time_BrokenBonesPainMedication
10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,"ETOWAH COUNTY, AL",For-Profit,High,2,High,1 Percent to 4 Percent,3,Delayed,41,333,199,62,4,84
10044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,HAMILTON,AL,35570,"MARION COUNTY, AL",Non-Profit,Low,4,Low,1 Percent to 4 Percent,2,Some Delay,22,181,96,,9,36
10045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,"FAYETTE COUNTY, AL",Non-Profit,Low,4,Low,1 Percent to 4 Percent,1,No Delay,14,292,143,,9,49
10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,"ETOWAH COUNTY, AL",For-Profit,Medium,3,Medium,1 Percent to 4 Percent,3,No Delay,16,162,111,,3,62
10047,GEORGIANA MEDICAL CENTER,515 N MIRANDA AVENUE,GEORGIANA,AL,36033,"BUTLER COUNTY, AL",For-Profit,Low,3,Low,1 Percent to 4 Percent,2,Some Delay,23,145,70,,,41
10049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,"COFFEE COUNTY, AL",For-Profit,Medium,2,Medium,1 Percent to 4 Percent,3,Some Delay,22,261,156,79,8,72
10051,GREENE COUNTY HOSPITAL,509 WILSON AVENUE,EUTAW,AL,35462,"GREENE COUNTY, AL",Government,Low,3,Low,1 Percent to 4 Percent,1,Delayed,52,220,151,,,
10052,LAKE MARTIN COMMUNITY HOSPITAL,201 MARIARDEN ROAD,DADEVILLE,AL,36853,"TALLAPOOSA COUNTY, AL",For-Profit,Low,3,Low,1 Percent to 4 Percent,1,No Delay,18,234,124,,3,62
10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36305,"HOUSTON COUNTY, AL",For-Profit,High,4,High,1 Percent to 4 Percent,1,Some Delay,32,249,172,,,89
10056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,"JEFFERSON COUNTY, AL",Non-Profit,High,4,High,1 Percent to 4 Percent,2,Some Delay,37,295,170,,,63
10058,BIBB MEDICAL CENTER,208 PIERSON AVE,CENTREVILLE,AL,35042,"BIBB COUNTY, AL",Government,Low,3,Low,1 Percent to 4 Percent,1,No Delay,18,199,109,,11,76
10059,LAWRENCE MEDICAL CENTER,202 HOSPITAL STREET,MOULTON,AL,35650,"LAWRENCE COUNTY, AL",Government,Low,4,Low,1 Percent to 4 Percent,1,No Delay,16,181,62,,7,32
10061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,"JACKSON COUNTY, AL",Government,Low,3,Low,5 Percent or More,5,Delayed,45,292,183,,16,93
10062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,GENEVA,AL,36340,"GENEVA COUNTY, AL",Non-Profit,Low,3,Low,1 Percent to 4 Percent,4,Some Delay,24,177,88,,17,49
10065,RUSSELL MEDICAL CENTER,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,"TALLAPOOSA COUNTY, AL",Non-Profit,Medium,3,Medium,1 Percent to 4 Percent,1,No Delay,17,256,129,,0,51
10069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,EUFAULA,AL,36027,"BARBOUR COUNTY, AL",Government,Low,4,Low,1 Percent to 4 Percent,3,No Delay,9,195,148,41,18,46
10073,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9    P O BOX 1270,ASHLAND,AL,36251,"CLAY COUNTY, AL",Government,Low,4,Low,1 Percent to 4 Percent,3,Some Delay,21,206,110,,7,73
10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,400 EAST 10TH STREET,ANNISTON,AL,36207,"CALHOUN COUNTY, AL",Government,High,2,High,1 Percent to 4 Percent,4,Severe Delay,60,331,219,83,12,100
10079,ATHENS LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611,"LIMESTONE COUNTY, AL",Government,Medium,2,Medium,1 Percent to 4 Percent,3,Some Delay,28,228,127,,5,72
10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535,"BALDWIN COUNTY, AL",For-Profit,Medium,3,Medium,5 Percent or More,6,No Delay,18,272,161,,7,64
10085,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,1201 7TH STREET SE,DECATUR,AL,35601,"MORGAN COUNTY, AL",Government,Very High,2,Very High,1 Percent to 4 Percent,2,Some Delay,33,334,138,72,8,68
10086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,AL,35594,"MARION COUNTY, AL",For-Profit,Low,4,Low,1 Percent to 4 Percent,1,No Delay,12,232,115,,6,37
10087,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,2451 FILLINGIM STREET,MOBILE,AL,36617,"MOBILE COUNTY, AL",Government,Medium,2,Medium,5 Percent or More,9,Delayed,46,505,236,,,51
10089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER,AL,35502,"WALKER COUNTY, AL",Non-Profit,Medium,4,Medium,1 Percent to 4 Percent,1,No Delay,11,229,116,83,3,40
10090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,MOBILE,AL,36608,"MOBILE COUNTY, AL",Non-Profit,High,2,High,1 Percent to 4 Percent,2,Some Delay,22,314,178,75,,86
10091,GROVE HILL MEMORIAL HOSPITAL,295 JACKSON HWY S,GROVE HILL,AL,36451,"CLARKE COUNTY, AL",Government,Low,3,Low,1 Percent to 4 Percent,2,Some Delay,37,287,160,69,13,82
10092,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,"TUSCALOOSA COUNTY, AL",Government,Very High,2,Very High,1 Percent to 4 Percent,3,Delayed,51,339,172,64,9,26
10095,HALE COUNTY HOSPITAL,508 GREEN STREET,GREENSBORO,AL,36744,"HALE COUNTY, AL",Government,Low,3,Low,1 Percent to 4 Percent,2,Some Delay,29,259,127,,16,54
10097,ELMORE COMMUNITY HOSPITAL,500 HOSPITAL DRIVE,WETUMPKA,AL,36092,"ELMORE COUNTY, AL",Government,Low,4,Low,1 Percent to 4 Percent,2,No Delay,18,172,79,,6,51
10099,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,BREWTON,AL,36426,"ESCAMBIA COUNTY, AL",Government,Low,2,Low,1 Percent to 4 Percent,2,Some Delay,36,190,118,,7,61
10100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,36532,"BALDWIN COUNTY, AL",Non-Profit,Medium,3,Medium,1 Percent to 4 Percent,2,Some Delay,29,305,188,64,,32
10101,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,TALLADEGA,AL,35161,"TALLADEGA COUNTY, AL",Non-Profit,Medium,3,Medium,1 Percent to 4 Percent,1,No Delay,18,206,108,91,6,51
10102,J PAUL JONES HOSPITAL,317 MCWILLIAMS AVENUE,CAMDEN,AL,36726,"WILCOX COUNTY, AL",Non-Profit,Low,,Low,1 Percent to 4 Percent,4,Delayed,49,152,115,,,78
10103,PRINCETON BAPTIST MEDICAL CENTER,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,AL,35211,"JEFFERSON COUNTY, AL",Non-Profit,High,3,High,1 Percent to 4 Percent,4,Some Delay,27,332,188,,,105
10104,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,BIRMINGHAM,AL,35243,"JEFFERSON COUNTY, AL",For-Profit,Medium,2,Medium,1 Percent to 4 Percent,2,Some Delay,21,228,166,82,,48
10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,36067,"AUTAUGA COUNTY, AL",Government,Medium,4,Medium,1 Percent to 4 Percent,2,Some Delay,27,354,162,64,10,75
10109,PICKENS COUNTY MEDICAL CENTER,241 ROBERT K WILSON DRIVE,CARROLLTON,AL,35447,"PICKENS COUNTY, AL",Government,Low,3,Low,1 Percent to 4 Percent,1,No Delay,18,247,112,,16,102
10110,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,UNION SPRINGS,AL,36089,"BULLOCK COUNTY, AL",For-Profit,Low,3,Low,1 Percent to 4 Percent,1,Delayed,40,179,95,,,
10112,BRYAN W. WHITFIELD MEMORIAL HOSPITAL,105 HIGHWAY 80 EAST,DEMOPOLIS,AL,36732,"MARENGO COUNTY, AL",Government,Low,2,Low,1 Percent to 4 Percent,4,Some Delay,30,217,112,5,25,56
10113,MOBILE INFIRMARY MEDICAL CENTER,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36652,"MOBILE COUNTY, AL",Non-Profit,High,2,High,1 Percent to 4 Percent,2,No Delay,11,346,236,,,84
10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST,BESSEMER,AL,35021,"JEFFERSON COUNTY, AL",Government,Very High,3,Very High,1 Percent to 4 Percent,1,No Delay,16,248,121,29,8,48
10118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,SELMA,AL,36701,"DALLAS COUNTY, AL",For-Profit,Medium,3,Medium,1 Percent to 4 Percent,1,No Delay,19,263,138,,8,35
10120,MONROE COUNTY HOSPITAL,"2016 SOUTH ALABAMA AVENUE, BOX 886",MONROEVILLE,AL,36460,"MONROE COUNTY, AL",Government,Low,3,Low,1 Percent to 4 Percent,4,Some Delay,26,234,125,,10,64
10125,LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195 E,HALEYVILLE,AL,35565,"WINSTON COUNTY, AL",Non-Profit,Low,5,Low,Zero Percent,0,No Delay,4,141,54,,0,21
10126,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,AL,36081,"PIKE COUNTY, AL",Government,Low,2,Low,1 Percent to 4 Percent,2,Some Delay,34,246,123,100,0,36
10128,JACKSON MEDICAL CENTER,220 HOSPITAL DRIVE,JACKSON,AL,36545,"CLARKE COUNTY, AL",For-Profit,Low,3,Low,1 Percent to 4 Percent,4,Delayed,47,217,135,,16,64
10129,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,BAY MINETTE,AL,36507,"BALDWIN COUNTY, AL",Non-Profit,Low,2,Low,1 Percent to 4 Percent,3,Some Delay,34,301,175,,8,102
10130,ST VINCENT'S ST CLAIR,7063 VETERANS PARKWAY,PELL CITY,AL,35125,"SAINT CLAIR COUNTY, AL",Non-Profit,Medium,4,Medium,1 Percent to 4 Percent,2,Some Delay,28,236,106,,4,53
10131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE,AL,35801,"MADISON COUNTY, AL",For-Profit,High,2,High,1 Percent to 4 Percent,3,Severe Delay,67,321,168,,,92
10138,HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE,YORK,AL,36925,"SUMTER COUNTY, AL",Non-Profit,Low,,Low,1 Percent to 4 Percent,1,Delayed,40,220,117,,,
10139,BROOKWOOD BAPTIST MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,AL,35209,"JEFFERSON COUNTY, AL",For-Profit,High,2,High,Zero Percent,0,No Delay,18,288,153,,13,53
10144,SPRINGHILL MEMORIAL HOSPITAL,3719 DAUPHIN STREET,MOBILE,AL,36608,"MOBILE COUNTY, AL",For-Profit,High,2,High,1 Percent to 4 Percent,3,Some Delay,29,307,148,100,,61
10146,RMC JACKSONVILLE,1701 SOUTH PELHAM ROAD,JACKSONVILLE,AL,36265,"CALHOUN COUNTY, AL",For-Profit,Low,3,Low,1 Percent to 4 Percent,1,Some Delay,32,284,144,,9,74
10148,EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVENUE,EVERGREEN,AL,36401,"CONECUH COUNTY, AL",For-Profit,Low,3,Low,1 Percent to 4 Percent,2,Delayed,41,230,134,,12,117
10149,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,MONTGOMERY,AL,36117,"MONTGOMERY COUNTY, AL",Government,High,4,High,1 Percent to 4 Percent,1,No Delay,14,416,178,71,10,72
10150,L V STABLER MEMORIAL HOSPITAL,29 L V STABLER DRIVE,GREENVILLE,AL,36037,"BUTLER COUNTY, AL",For-Profit,Low,4,Low,1 Percent to 4 Percent,3,Some Delay,21,230,105,,6,64
10157,SHOALS HOSPITAL,201 WEST AVALON AVENUE,MUSCLE SHOALS,AL,35661,"COLBERT COUNTY, AL",Government,Low,2,Low,1 Percent to 4 Percent,2,No Delay,7,211,84,,6,32
10158,RUSSELLVILLE HOSPITAL,15155 HIGHWAY 43,RUSSELLVILLE,AL,35653,"FRANKLIN COUNTY, AL",For-Profit,Low,4,Low,1 Percent to 4 Percent,2,No Delay,12,221,93,,2,32
10164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,AL,35150,"TALLADEGA COUNTY, AL",Non-Profit,Medium,2,Medium,1 Percent to 4 Percent,2,Some Delay,22,288,102,94,7,51
10168,JACK HUGHSTON MEMORIAL HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,AL,36867,"RUSSELL COUNTY, AL",Government,Low,4,Low,1 Percent to 4 Percent,2,Some Delay,33,261,101,,6,59
10169,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,AL,36502,"ESCAMBIA COUNTY, AL",Government,Low,4,Low,1 Percent to 4 Percent,3,Some Delay,27,200,108,,7,64
10172,NORTH ALABAMA SPECIALITY HOSPITAL,"700 WEST MARKET STREET, 2ND FLOOR",ATHENS,AL,35611,"LIMESTONE COUNTY, AL",For-Profit,,,,,,,,,,,,
10173,ST VINCENT'S CHILTON,2030 LAY DAM ROAD,CLANTON,AL,35045,"CHILTON COUNTY, AL",Non-Profit,,,,,,Some Delay,20,250,136,,,54
11300,WASHINGTON COUNTY HOSPITAL,14600 ST. STEPHENS AVENUE,CHATOM,AL,36518,"WASHINGTON COUNTY, AL",Government,Low,,Low,1 Percent to 4 Percent,1,No Delay,17,160,105,,8,58
11302,RED BAY HOSPITAL,211 HOSPITAL ROAD,RED BAY,AL,35582,"FRANKLIN COUNTY, AL",Government,,,,,,No Delay,18,209,112,,6,62
11304,CHOCTAW GENERAL HOSPITAL,"401 VANITY FAIR LANE, PO BOX 618",BUTLER,AL,36904,"CHOCTAW COUNTY, AL",Non-Profit,Low,,Low,1 Percent to 4 Percent,1,No Delay,19,210,101,,4,45
11305,ST VINCENTS BLOUNT,150 GILBREATH DRIVE,ONEONTA,AL,35121,"BLOUNT COUNTY, AL",Non-Profit,Low,3,Low,1 Percent to 4 Percent,3,Some Delay,29,237,139,,6,56
13300,CHILDREN'S HOSPITAL OF ALABAMA,1600 SEVENTH AVENUE SOUTH,BIRMINGHAM,AL,35233,"JEFFERSON COUNTY, AL",Non-Profit,,,,,,,,,,,,
13301,UNIVERSITY OF S A CHILDREN'S AND WOMEN'S HOS,1700 CENTER STREET,MOBILE,AL,36604,"MOBILE COUNTY, AL",Government,,,,,,,,,,,,
20001,PROVIDENCE ALASKA MEDICAL CENTER,3200 PROVIDENCE DRIVE,ANCHORAGE,AK,99508,"ANCHORAGE CITY AND BOROUGH, AK",Non-Profit,Very High,4,Very High,1 Percent to 4 Percent,1,Some Delay,29,405,160,,,51
20006,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,PALMER,AK,99645,"MATANUSKA -SUSITNA BOROUGH, AK",Non-Profit,Medium,2,Medium,1 Percent to 4 Percent,2,Some Delay,31,301,146,,5,58
20008,BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,JUNEAU,AK,99801,"JUNEAU CITY AND BOROUGH, AK",Government,Low,3,Low,1 Percent to 4 Percent,1,Some Delay,26,306,148,,4,41
20012,FAIRBANKS MEMORIAL HOSPITAL,1650 COWLES STREET,FAIRBANKS,AK,99701,"FAIRBANKS NORTH STAR BOROUGH, AK",Non-Profit,Medium,4,Medium,1 Percent to 4 Percent,1,,,301,139,42,,51
20017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,AK,99508,"ANCHORAGE CITY AND BOROUGH, AK",For-Profit,Medium,4,Medium,Zero Percent,0,No Delay,8,261,117,,,40
20018,YUKON KUSKOKWIM DELTA REG HOSPITAL,PO BOX 287,BETHEL,AK,99559,"BETHEL CENSUS AREA, AK",Other,,3,,,,,,306,,,,
20024,CENTRAL PENINSULA GENERAL HOSPITAL,250 HOSPITAL PLACE,SOLDOTNA,AK,99669,"KENAI PENINSULA BOROUGH, AK",Non-Profit,Low,2,Low,1 Percent to 4 Percent,2,Some Delay,33,375,188,,8,69
20026,ALASKA NATIVE MEDICAL CENTER,4315 DIPLOMACY DR,ANCHORAGE,AK,99508,"ANCHORAGE CITY AND BOROUGH, AK",Government,High,2,High,5 Percent or More,6,Delayed,45,452,126,,,76
21301,PROVIDENCE VALDEZ MEDICAL CENTER,PO BOX 550,VALDEZ,AK,99686,"VALDEZ-CORDOVA CENSUS AREA, AK",Government,,,,,,,,,,,,
21302,PROVIDENCE SEWARD HOSPITAL,"417 FIRST AVENUE, PO BOX 365",SEWARD,AK,99664,"KENAI PENINSULA BOROUGH, AK",Government,,,,,,,,,,,,
21303,SITKA COMMUNITY HOSPITAL,209 MOLLER DRIVE,SITKA,AK,99835,"SITKA CITY AND BOROUGH, AK",Government,,,,,,,,226,,,23,46
21304,PETERSBURG MEDICAL CENTER, PO BOX 589,PETERSBURG,AK,99833,"PETERSBURG BOROUGH, AK",Government,,,,,,,,,,,,
21305,WRANGELL MEDICAL CENTER,310 BENNETT STREET PO BOX 1081,WRANGELL,AK,99929,"WRANGELL CITY AND BOROUGH, AK",Government,,,,,,,,,,,,
21306,PROVIDENCE KODIAK ISLAND MEDICAL CTR,1915 EAST REZANOF DRIVE,KODIAK,AK,99615,"KODIAK ISLAND BOROUGH, AK",Non-Profit,,,,,,,,,,,,
21307,CORDOVA COMMUNITY MEDICAL CENTER,PO BOX 160 - 602 CHASE AVENUE,CORDOVA,AK,99574,"VALDEZ-CORDOVA CENSUS AREA, AK",Government,,,,,,,,,,,,
21308,NORTON SOUND REGIONAL HOSPITAL,1000 GREG KRUSCHEK AVENUE (P O BOX 966),NOME,AK,99762,"NOME CENSUS AREA, AK",Other,,,,,,,,,,,,
21309,KANAKANAK HOSPITAL,P O BOX 130,DILLINGHAM,AK,99576,"DILLINGHAM CENSUS AREA, AK",Non-Profit,,,,,,,,,,,,
21310,MANIILAQ HEALTH CENTER,PO BOX 43,KOTZEBUE,AK,99752,"NORTHWEST ARCTIC BOROUGH, AK",Other,,,,,,,,,,,,
21311,PEACEHEALTH KETCHIKAN MEDICAL CENTER,3100 TONGASS AVENUE,KETCHIKAN,AK,99901,"KETCHIKAN GATEWAY BOROUGH, AK",Non-Profit,Low,3,Low,1 Percent to 4 Percent,2,Some Delay,20,318,154,,6,32
21312,SAMUEL SIMMONDS MEMORIAL HOSPITAL,7000 UULA ST,BARROW,AK,99723,"NORTH SLOPE BOROUGH, AK",Government,,,,,,,,,,,,
21313,SOUTH PENINSULA HOSPITAL,4300 BARTLETT ST,HOMER,AK,99603,"KENAI PENINSULA BOROUGH, AK",Non-Profit,,4,,,,No Delay,7,,152,,9,51
21314,MT EDGECUMBE HOSPITAL,222 TONGASS DR,SITKA,AK,99835,"SITKA CITY AND BOROUGH, AK",Non-Profit,,,,,,,,208,,,,
30001,ABRAZO MARYVALE CAMPUS,5102 WEST CAMPBELL AVENUE,PHOENIX,AZ,85031,"MARICOPA COUNTY, AZ",For-Profit,High,3,High,1 Percent to 4 Percent,1,Some Delay,22,264,129,,4,35
30002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,1111 EAST MCDOWELL ROAD,PHOENIX,AZ,85006,"MARICOPA COUNTY, AZ",Non-Profit,Very High,3,Very High,1 Percent to 4 Percent,4,Some Delay,33,304,208,,,58
30006,TUCSON MEDICAL CENTER,5301 EAST GRANT ROAD,TUCSON,AZ,85712,"PIMA COUNTY, AZ",Non-Profit,Very High,3,Very High,1 Percent to 4 Percent,1,Some Delay,35,316,183,,,53
30007,VERDE VALLEY MEDICAL CENTER,269 SOUTH CANDY LANE,COTTONWOOD,AZ,86326,"YAVAPAI COUNTY, AZ",Non-Profit,Medium,5,Medium,1 Percent to 4 Percent,2,No Delay,13,270,141,60,9,43
30010,ST. MARY'S HOSPITAL,1601 WEST ST MARY'S ROAD,TUCSON,AZ,85745,"PIMA COUNTY, AZ",Non-Profit,High,3,High,1 Percent to 4 Percent,1,Some Delay,22,335,204,,,68
30011,ST JOSEPH'S HOSPITAL,350 NORTH WILMOT ROAD,TUCSON,AZ,85711,"PIMA COUNTY, AZ",Non-Profit,High,3,High,1 Percent to 4 Percent,2,Some Delay,28,356,258,,,78
30012,YAVAPAI REGIONAL MEDICAL CENTER,1003 WILLOW CREEK ROAD,PRESCOTT,AZ,86301,"YAVAPAI COUNTY, AZ",Non-Profit,High,3,High,1 Percent to 4 Percent,2,Some Delay,28,259,170,66,9,58
30013,YUMA REGIONAL MEDICAL CENTER,2400 SOUTH AVENUE A,YUMA,AZ,85364,"YUMA COUNTY, AZ",Non-Profit,Very High,3,Very High,5 Percent or More,5,No Delay,13,292,246,65,,100
30014,JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL,250 EAST DUNLAP AVENUE,PHOENIX,AZ,85020,"MARICOPA COUNTY, AZ",Non-Profit,High,2,High,1 Percent to 4 Percent,3,Delayed,50,281,210,,,59
30016,BANNER CASA GRANDE MEDICAL CENTER,1800 EAST FLORENCE BOULEVARD,CASA GRANDE,AZ,85222,"PINAL COUNTY, AZ",Non-Profit,High,2,High,1 Percent to 4 Percent,3,No Delay,18,275,172,,10,50
